[0.000000] (-) TimerEvent: {}
[0.000339] (41068_ignition_bringup) JobQueued: {'identifier': '41068_ignition_bringup', 'dependencies': OrderedDict()}
[0.235749] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/models/forest_wall/materials\n'}
[0.236047] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/models/forest_wall/materials/textures\n'}
[0.236322] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/models/forest_wall/materials/textures/forest_wall_transparent.png\n'}
[0.236539] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/models/forest_wall/materials/textures/forest_wall.png\n'}
[0.236716] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/models/forest_wall/materials/textures/forest_wall_transparent_small.png\n'}
[0.236857] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/models/forest_wall/model.sdf\n'}
[0.237224] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/models/forest_wall/model.config\n'}
[0.237459] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/models/forest_plane\n'}
[0.237650] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/models/forest_plane/materials\n'}
[0.238059] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/models/forest_plane/materials/textures\n'}
[0.238378] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/models/forest_plane/materials/textures/forest_overhead.png\n'}
[0.238537] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/models/forest_plane/materials/textures/forest_overhead_plain.png\n'}
[0.238630] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/models/forest_plane/materials/textures/empty_grass.png\n'}
[0.238713] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/models/forest_plane/materials/textures/leaf_litter.png\n'}
[0.238824] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/models/forest_plane/model.sdf\n'}
[0.238962] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/models/forest_plane/model.config\n'}
[0.239045] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/models/grass_plane\n'}
[0.239124] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/models/grass_plane/materials\n'}
[0.239203] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/models/grass_plane/materials/textures\n'}
[0.239296] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/models/grass_plane/materials/textures/empty_grass.png\n'}
[0.239375] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/models/grass_plane/model.sdf\n'}
[0.239478] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/models/grass_plane/model.config\n'}
[0.239654] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf_husky\n'}
[0.239772] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf_husky/wheel.urdf.xacro\n'}
[0.239852] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf_husky/husky.urdf.xacro\n'}
[0.239930] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf_husky/common_properties.urdf.xacro\n'}
[0.240020] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf_husky/meshes\n'}
[0.240173] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf_husky/meshes/base_link.dae\n'}
[0.240365] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf_husky/meshes/jpl04_arch_nosensor.stl\n'}
[0.240595] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf_husky/meshes/top_plate.dae\n'}
[0.240853] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf_husky/meshes/bumper.dae\n'}
[0.241131] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf_husky/meshes/top_chassis.dae\n'}
[0.241433] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf_husky/meshes/wheel.dae\n'}
[0.241663] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf_husky/husky.gazebo.xacro\n'}
[0.241903] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/worlds\n'}
[0.242166] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/worlds/simple_trees.sdf\n'}
[0.242448] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/worlds/large_demo.sdf\n'}
[0.242718] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf_parrot\n'}
[0.243000] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf_parrot/parrot.urdf.xacro\n'}
[0.243246] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf_parrot/model.sdf\n'}
[0.243655] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf_parrot/common_properties.urdf.xacro\n'}
[0.244285] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf_parrot/thumbnails\n'}
[0.244537] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf_parrot/thumbnails/1.png\n'}
[0.244880] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf_parrot/thumbnails/4.png\n'}
[0.245534] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf_parrot/thumbnails/5.png\n'}
[0.245802] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf_parrot/thumbnails/2.png\n'}
[0.246201] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf_parrot/thumbnails/3.png\n'}
[0.246896] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf_parrot/meshes\n'}
[0.247416] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf_parrot/meshes/hull.dae\n'}
[0.248181] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf_parrot/meshes/propeller_fl.dae\n'}
[0.248400] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf_parrot/meshes/propeller_rl.dae\n'}
[0.248549] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf_parrot/meshes/propeller_fr.dae\n'}
[0.248732] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf_parrot/meshes/propeller_rr.dae\n'}
[0.249300] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf_parrot/model.config\n'}
[0.249550] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf_parrot/parrot.gazebo.xacro\n'}
[0.249746] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/lib/41068_ignition_bringup/dynamic_world_demo.py\n'}
[0.249975] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/lib/41068_ignition_bringup/basic_autonomy_demo.py\n'}
[0.250221] (41068_ignition_bringup) StdoutLine: {'line': b'-- Installing: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/lib/41068_ignition_bringup/odometry_tf_broadcaster.py\n'}
[0.250491] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/ament_index/resource_index/package_run_dependencies/41068_ignition_bringup\n'}
[0.250696] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/ament_index/resource_index/parent_prefix_path/41068_ignition_bringup\n'}
[0.250800] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/environment/ament_prefix_path.sh\n'}
[0.250880] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/environment/ament_prefix_path.dsv\n'}
[0.250956] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/environment/path.sh\n'}
[0.251074] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/environment/path.dsv\n'}
[0.251302] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/local_setup.bash\n'}
[0.251536] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/local_setup.sh\n'}
[0.251778] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/local_setup.zsh\n'}
[0.252046] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/local_setup.dsv\n'}
[0.252255] (41068_ignition_bringup) StdoutLine: {'line': b'-- Installing: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/package.dsv\n'}
[0.252533] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/ament_index/resource_index/packages/41068_ignition_bringup\n'}
[0.252762] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/cmake/41068_ignition_bringupConfig.cmake\n'}
[0.253012] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/cmake/41068_ignition_bringupConfig-version.cmake\n'}
[0.253399] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/package.xml\n'}
[0.253770] (41068_ignition_bringup) CommandEnded: {'returncode': 0}
[0.299376] (-) TimerEvent: {}
[0.305344] (41068_ignition_bringup) JobEnded: {'identifier': '41068_ignition_bringup', 'rc': 0}
[0.307144] (-) EventReactorShutdown: {}
